configuration,seed,condition,noise_type,target_snr_db,exposure,class_name,precision,recall,f1,support
clean_rr,123,ma_12db,ma,12.0,unseen_snr,S,0.06037735849056604,0.08040201005025126,0.06896551724137931,199
clean_rr,123,ma_12db,ma,12.0,unseen_snr,V,0.6721698113207547,0.3501228501228501,0.4604200323101777,814
clean_rr,123,ma_12db,ma,12.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,2026,ma_12db,ma,12.0,unseen_snr,N,0.9726422717303475,0.8671400638057013,0.9168661588683351,9717
clean_rr,2026,ma_12db,ma,12.0,unseen_snr,S,0.06896551724137931,0.020100502512562814,0.0311284046692607,199
clean_rr,2026,ma_12db,ma,12.0,unseen_snr,V,0.3315163528245788,0.8218673218673219,0.4724576271186441,814
clean_rr,2026,ma_12db,ma,12.0,unseen_snr,F,0.045454545454545456,0.03225806451612903,0.03773584905660377,31
noise_augmented_rr,42,ma_12db,ma,12.0,unseen_snr,N,0.9575095576187875,0.902130287125656,0.9289953370072065,9717
noise_augmented_rr,42,ma_12db,ma,12.0,unseen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,42,ma_12db,ma,12.0,unseen_snr,V,0.35290193462308206,0.6498771498771498,0.4574146130566364,814
noise_augmented_rr,42,ma_12db,ma,12.0,unseen_snr,F,0.019417475728155338,0.06451612903225806,0.029850746268656716,31
noise_augmented_rr,123,ma_12db,ma,12.0,unseen_snr,N,0.9663095238095238,0.8353401255531543,0.8960644698349617,9717
noise_augmented_rr,123,ma_12db,ma,12.0,unseen_snr,S,0.05555555555555555,0.010050251256281407,0.01702127659574468,199
noise_augmented_rr,123,ma_12db,ma,12.0,unseen_snr,V,0.27164835164835166,0.7592137592137592,0.40012949174490126,814
noise_augmented_rr,123,ma_12db,ma,12.0,unseen_snr,F,0.08,0.12903225806451613,0.09876543209876543,31
noise_augmented_rr,2026,ma_12db,ma,12.0,unseen_snr,N,0.9501154270801967,0.9741689821961511,0.9619918699186992,9717
noise_augmented_rr,2026,ma_12db,ma,12.0,unseen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,ma_12db,ma,12.0,unseen_snr,V,0.5551378446115288,0.5442260442260443,0.5496277915632755,814
noise_augmented_rr,2026,ma_12db,ma,12.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,42,ma_6db,ma,6.0,seen_snr,N,0.9507917950898076,0.9206545230009262,0.9354804977517516,9717
clean_rr,42,ma_6db,ma,6.0,seen_snr,S,0.03314285714285714,0.1457286432160804,0.054003724394785846,199
clean_rr,42,ma_6db,ma,6.0,seen_snr,V,0.6359649122807017,0.35626535626535627,0.4566929133858268,814
clean_rr,42,ma_6db,ma,6.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,123,ma_6db,ma,6.0,seen_snr,N,0.9413813694267515,0.9734485952454461,0.9571464710346572,9717
clean_rr,123,ma_6db,ma,6.0,seen_snr,S,0.0339943342776204,0.06030150753768844,0.043478260869565216,199
clean_rr,123,ma_6db,ma,6.0,seen_snr,V,0.668693009118541,0.2702702702702703,0.38495188101487315,814
clean_rr,123,ma_6db,ma,6.0,seen_snr,F,0.03225806451612903,0.03225806451612903,0.03225806451612903,31
clean_rr,2026,ma_6db,ma,6.0,seen_snr,N,0.9616686687779841,0.9062467839868272,0.9331355303592244,9717
clean_rr,2026,ma_6db,ma,6.0,seen_snr,S,0.03125,0.02512562814070352,0.027855153203342618,199
clean_rr,2026,ma_6db,ma,6.0,seen_snr,V,0.35584958217270196,0.6277641277641277,0.45422222222222225,814
clean_rr,2026,ma_6db,ma,6.0,seen_snr,F,0.0,0.0,0.0,31
noise_augmented_rr,42,ma_6db,ma,6.0,seen_snr,N,0.9475683088933432,0.9243593701759802,0.9358199624921859,9717
noise_augmented_rr,42,ma_6db,ma,6.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,42,ma_6db,ma,6.0,seen_snr,V,0.36928386540120794,0.5257985257985258,0.43385707045108973,814
noise_augmented_rr,42,ma_6db,ma,6.0,seen_snr,F,0.017857142857142856,0.06451612903225806,0.027972027972027972,31
noise_augmented_rr,123,ma_6db,ma,6.0,seen_snr,N,0.9626629094751673,0.8437789441185551,0.8993089832181639,9717
noise_augmented_rr,123,ma_6db,ma,6.0,seen_snr,S,0.02631578947368421,0.010050251256281407,0.014545454545454545,199
noise_augmented_rr,123,ma_6db,ma,6.0,seen_snr,V,0.26232647199617043,0.6732186732186732,0.3775404753703066,814
noise_augmented_rr,123,ma_6db,ma,6.0,seen_snr,F,0.05063291139240506,0.12903225806451613,0.07272727272727272,31
noise_augmented_rr,2026,ma_6db,ma,6.0,seen_snr,N,0.9424809424809425,0.9797262529587322,0.9607427591078818,9717
noise_augmented_rr,2026,ma_6db,ma,6.0,seen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,ma_6db,ma,6.0,seen_snr,V,0.5575757575757576,0.4520884520884521,0.4993215739484396,814
noise_augmented_rr,2026,ma_6db,ma,6.0,seen_snr,F,0.0,0.0,0.0,31
clean_rr,42,ma_0db,ma,0.0,unseen_snr,N,0.9381235406495436,0.9096428938972934,0.9236637232875281,9717
clean_rr,42,ma_0db,ma,0.0,unseen_snr,S,0.037132987910189985,0.21608040201005024,0.06337509211495947,199
clean_rr,42,ma_0db,ma,0.0,unseen_snr,V,0.7541899441340782,0.16584766584766586,0.2719033232628399,814
clean_rr,42,ma_0db,ma,0.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,123,ma_0db,ma,0.0,unseen_snr,N,0.9323815189371406,0.9677884120613358,0.9497550876129879,9717
clean_rr,123,ma_0db,ma,0.0,unseen_snr,S,0.05321507760532151,0.12060301507537688,0.07384615384615385,199
clean_rr,123,ma_0db,ma,0.0,unseen_snr,V,0.7925531914893617,0.18304668304668303,0.29740518962075846,814
clean_rr,123,ma_0db,ma,0.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,2026,ma_0db,ma,0.0,unseen_snr,N,0.9453833470733718,0.9441185551096017,0.9447505277792081,9717
clean_rr,2026,ma_0db,ma,0.0,unseen_snr,S,0.03676470588235294,0.05025125628140704,0.04246284501061571,199
clean_rr,2026,ma_0db,ma,0.0,unseen_snr,V,0.40433673469387754,0.3894348894348894,0.3967459324155194,814
clean_rr,2026,ma_0db,ma,0.0,unseen_snr,F,0.0,0.0,0.0,31
noise_augmented_rr,42,ma_0db,ma,0.0,unseen_snr,N,0.9410324423587023,0.9492641761860656,0.9451303857779599,9717
noise_augmented_rr,42,ma_0db,ma,0.0,unseen_snr,S,0.027777777777777776,0.005025125628140704,0.00851063829787234,199
noise_augmented_rr,42,ma_0db,ma,0.0,unseen_snr,V,0.4280442804428044,0.4275184275184275,0.42778119237861095,814
noise_augmented_rr,42,ma_0db,ma,0.0,unseen_snr,F,0.00909090909090909,0.03225806451612903,0.014184397163120567,31
noise_augmented_rr,123,ma_0db,ma,0.0,unseen_snr,N,0.9566996249573815,0.8663167644334672,0.9092676604018146,9717
noise_augmented_rr,123,ma_0db,ma,0.0,unseen_snr,S,0.03937007874015748,0.02512562814070352,0.03067484662576687,199
noise_augmented_rr,123,ma_0db,ma,0.0,unseen_snr,V,0.2682926829268293,0.5675675675675675,0.3643533123028391,814
noise_augmented_rr,123,ma_0db,ma,0.0,unseen_snr,F,0.017699115044247787,0.06451612903225806,0.027777777777777776,31
noise_augmented_rr,2026,ma_0db,ma,0.0,unseen_snr,N,0.9328604741546832,0.9880621591026036,0.9596681493328002,9717
noise_augmented_rr,2026,ma_0db,ma,0.0,unseen_snr,S,0.0,0.0,0.0,199
noise_augmented_rr,2026,ma_0db,ma,0.0,unseen_snr,V,0.6089743589743589,0.3501228501228501,0.44461778471138846,814
noise_augmented_rr,2026,ma_0db,ma,0.0,unseen_snr,F,0.0,0.0,0.0,31
clean_rr,42,ma_-6db,ma,-6.0,seen_snr,N,0.9301127214170692,0.8916332201296696,0.9104665825977302,9717
